,R Squared,Mean Squared Error,Mean Absolute Error,Max Error
Linear Regression + Nothing,0.3346172718376723,0.8536656770430717,0.6469095077950916,4.069748585231502
Ridge Regression + Nothing,0.3346173442643255,0.8536655791717676,0.6469090099641976,4.069742817517698
Lasso Regression + Nothing,0.31550992401679895,0.8780586695189679,0.6604168641094261,4.009325309111135
LARS Lasso Regression + Nothing,0.31550992276530226,0.8780586717857541,0.6604168565363826,4.009327830166418
Bayesian Ridge Regression + Nothing,0.33458861658849176,0.8536996118130865,0.6473207147383355,4.069348567877863
Stochastic Gradient Descent Regression + Nothing,0.32773962442201426,0.672103472995269,0.5729500118427298,3.673841866803785
Linear Regression + Lexical,0.3746799914264193,0.7978178589637409,0.6274691544458586,3.3670634932079024
Ridge Regression + Lexical,0.3746863101485457,0.7978093830772032,0.6275690563308203,3.3665938021663315
Lasso Regression + Lexical,0.3379523135166474,0.8442523322876834,0.6583281490852562,3.4517596975840243
LARS Lasso Regression + Lexical,0.33795245292316567,0.8442521419278938,0.6583273736838547,3.451757590931277
Bayesian Ridge Regression + Lexical,0.3741140387479768,0.7985283551096166,0.6263829497109838,3.357252059824455
Stochastic Gradient Descent Regression + Lexical,0.368219247882278,0.631087395672315,0.553917276196904,3.098743282282496
Linear Regression + Scores,0.352453146780157,0.8255956016848558,0.6413246826690651,3.0131660559936595
Ridge Regression + Scores,0.34332732689218015,0.8372908647581164,0.6473690345001126,3.290670424265481
Lasso Regression + Scores,0.3042678036443069,0.8869849331925096,0.6700881204915021,3.5516871421932725
LARS Lasso Regression + Scores,0.30426779452045405,0.8869849433703358,0.6700879984686464,3.5516897941226175
Bayesian Ridge Regression + Scores,0.34499334084743527,0.8350376659640875,0.6432871274600784,3.336508312417834
Stochastic Gradient Descent Regression + Scores,0.3360803008768937,0.6626969751743557,0.5761544990707976,2.9481028342047537
Linear Regression + Reading,0.4092757085729509,0.7532308917156237,0.6185101764911558,2.7915607785740115
Ridge Regression + Reading,0.40927616975528736,0.7532303431293892,0.618509430974552,2.791598849207945
Lasso Regression + Reading,0.31917720284181234,0.86805253679041,0.658864551878896,3.5847594549770014
LARS Lasso Regression + Reading,0.3191772167220888,0.8680525253724509,0.6588640194083103,3.584759243833665
Bayesian Ridge Regression + Reading,0.40931682059710084,0.7531931693805125,0.6177009640728202,2.8062837446419717
Stochastic Gradient Descent Regression + Reading,0.40731747029892285,0.591576887209231,0.5484667602640068,2.4826878815824007
Linear Regression + NLP,0.34236500306979323,0.8436791159913983,0.6479477578400639,3.9661107001675773
Ridge Regression + NLP,0.3423651350127169,0.8436789544876172,0.6479392384560818,3.9661155492045763
Lasso Regression + NLP,0.31550992401679895,0.8780586695189679,0.6604168641094261,4.009325309111135
LARS Lasso Regression + NLP,0.31550992276530226,0.8780586717857541,0.6604168565363826,4.009327830166418
Bayesian Ridge Regression + NLP,0.34233824386791045,0.8437176616989124,0.6474589053133479,3.9689046807570953
Stochastic Gradient Descent Regression + NLP,0.33544534040470336,0.6643794928924784,0.5751436472118574,3.462673203941855
Linear Regression + All,0.4411091285926119,0.7165831386732721,0.5919851771271601,3.1641381006922735
Ridge Regression + All,0.43991838510224035,0.7181555878912979,0.5935529617555837,3.2840747312497207
Lasso Regression + All,0.36771032070755966,0.8110381681072323,0.6279222470759473,3.704123397420478
LARS Lasso Regression + All,0.36771049677474077,0.8110379524083751,0.6279239374771525,3.704155256405015
Bayesian Ridge Regression + All,0.43946955315542835,0.7187801034561209,0.5905469893634641,3.3241168516077897
Stochastic Gradient Descent Regression + All,0.4350302018332865,0.5644677870382971,0.5275146087666667,2.9376869968910313
